Pattern:only F1 main effect, Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000003, 0.058005, 0.686160) 
Pattern:All (F1 and F2 main effect and interaction), Type:snrsurr, Area:S1, Frequency of interest:23 
p-threshold:0.000191, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 51, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 52, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:146, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:147, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000001, 0.000000) 
p-threshold:0.000191, bipolar ch:148, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:149, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:150, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:155, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000003, 0.000000) 
p-threshold:0.000191, bipolar ch:156, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:157, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:158, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:159, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:165, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:166, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:167, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:168, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000026) 
Pattern:All (F1 and F2 main effect and interaction), Type:snrsurr, Area:S1, Frequency of interest:200 
p-threshold:0.000191, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:147, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:148, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:156, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:157, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:158, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
Pattern:All (F1 and F2 main effect and interaction), Type:snrsurr, Area:S2, Frequency of interest:23 
p-threshold:0.000191, bipolar ch:  4, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 12, stats:(F1 Amp,F2 Amp, interact)=(0.000030, 0.000000, 0.000132) 
p-threshold:0.000191, bipolar ch: 14, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 23, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.000001, 0.000081) 
p-threshold:0.000191, bipolar ch: 25, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 27, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 28, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 30, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000001) 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 37, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 38, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 41, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000044) 
p-threshold:0.000191, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 47, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 48, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 49, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 53, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000007, 0.000001) 
p-threshold:0.000191, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 70, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 75, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000035, 0.000122) 
p-threshold:0.000191, bipolar ch: 82, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 83, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 84, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 86, stats:(F1 Amp,F2 Amp, interact)=(0.000027, 0.000000, 0.000089) 
p-threshold:0.000191, bipolar ch: 87, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 88, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 89, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 90, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 91, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 92, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000004) 
p-threshold:0.000191, bipolar ch: 94, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 95, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 96, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 97, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 98, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 99, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:100, stats:(F1 Amp,F2 Amp, interact)=(0.000018, 0.000001, 0.000007) 
p-threshold:0.000191, bipolar ch:101, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:102, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:103, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:104, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:106, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:107, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:108, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:109, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:110, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:111, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:112, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
Pattern:All (F1 and F2 main effect and interaction), Type:snrsurr, Area:S2, Frequency of interest:200 
p-threshold:0.000191, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 27, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 28, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 41, stats:(F1 Amp,F2 Amp, interact)=(0.000129, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 88, stats:(F1 Amp,F2 Amp, interact)=(0.000008, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 90, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 94, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch: 96, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:101, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:102, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:108, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:109, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:110, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000191, bipolar ch:111, stats:(F1 Amp,F2 Amp, interact)=(0.000001, 0.000000, 0.000012) 
Pattern:All (F1 and F2 main effect and interaction), Type:evkdpwr, Area:S1, Frequency of interest:23 
p-threshold:0.000166, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000004) 
p-threshold:0.000166, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 36, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000009) 
p-threshold:0.000166, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 50, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000002) 
p-threshold:0.000166, bipolar ch: 51, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 52, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:131, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000069, 0.000026) 
p-threshold:0.000166, bipolar ch:133, stats:(F1 Amp,F2 Amp, interact)=(0.000003, 0.000013, 0.000003) 
p-threshold:0.000166, bipolar ch:146, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000002) 
p-threshold:0.000166, bipolar ch:147, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:148, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:149, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:150, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000032) 
p-threshold:0.000166, bipolar ch:155, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:156, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:157, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:158, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:159, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:165, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:166, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:167, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:168, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
Pattern:All (F1 and F2 main effect and interaction), Type:evkdpwr, Area:S1, Frequency of interest:200 
p-threshold:0.000166, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000014, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 44, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000002) 
p-threshold:0.000166, bipolar ch:131, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000002) 
p-threshold:0.000166, bipolar ch:147, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:148, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:155, stats:(F1 Amp,F2 Amp, interact)=(0.000010, 0.000000, 0.000026) 
p-threshold:0.000166, bipolar ch:156, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:157, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:158, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
Pattern:All (F1 and F2 main effect and interaction), Type:evkdpwr, Area:S2, Frequency of interest:23 
p-threshold:0.000166, bipolar ch:  4, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000019, 0.000002) 
p-threshold:0.000166, bipolar ch: 12, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 14, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 23, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000041, 0.000000) 
p-threshold:0.000166, bipolar ch: 24, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000001, 0.000035) 
p-threshold:0.000166, bipolar ch: 25, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000001, 0.000000) 
p-threshold:0.000166, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 27, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 28, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 30, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 32, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 33, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 34, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 35, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 37, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 38, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 39, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 40, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 41, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 42, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 43, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 45, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 47, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 48, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 49, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 54, stats:(F1 Amp,F2 Amp, interact)=(0.000002, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 69, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 70, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 75, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000021) 
p-threshold:0.000166, bipolar ch: 77, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000144) 
p-threshold:0.000166, bipolar ch: 80, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000006) 
p-threshold:0.000166, bipolar ch: 82, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 83, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 84, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 86, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000007) 
p-threshold:0.000166, bipolar ch: 87, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 88, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 89, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 90, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 91, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 92, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 94, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 95, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 96, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 97, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 98, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:100, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000003) 
p-threshold:0.000166, bipolar ch:101, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:102, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:103, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:104, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:106, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:107, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:108, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:109, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:110, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:111, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch:112, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
Pattern:All (F1 and F2 main effect and interaction), Type:evkdpwr, Area:S2, Frequency of interest:200 
p-threshold:0.000166, bipolar ch: 26, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 27, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
p-threshold:0.000166, bipolar ch: 28, stats:(F1 Amp,F2 Amp, interact)=(0.000000, 0.000000, 0.000000) 
